State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",_lead_score,_signals
AZ,037233,HORIZON HOME HEALTH OF PHOENIX,"2720 EAST THOMAS ROAD, SUITE 270B",PHOENIX,85016,4808945113,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/15/2004,2,-,47,77,61.04,-,42,44,95.45,-,35,58,72.46,-,44,59,87.83,-,49,62,91.41,-,21,36,74.50,-,24,40,75.59,-,0,66,0.00,-,63,84,75.00,-,0,83,0.00,-,47,65,72.31,-,4,20,20.00,-,49,64,76.56,-,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,14,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,053109,ANGELICUM HOME HEALTH INC,3914 MURPHY CANYON RD,SAN DIEGO,92123,8585255295,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/02/2017,2,-,44,54,81.48,-,26,37,70.27,-,14,30,72.95,-,11,28,71.45,-,21,31,87.49,-,-,-,-,The number of patient episodes for this measure is too small to report.,15,29,83.93,-,0,31,0.00,-,47,54,87.04,-,0,54,0.00,-,24,31,77.42,-,29,31,93.55,-,19,23,82.61,-,39,54,72.22,78.88,66.74,89.14,Same As National Rate,-,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,4,33,12.12,11.13,6.64,18.58,Same As National Rate,-,0.79,-,151,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,053122,MERIT HOME HEALTH SERVICES INC,1003 COOLEY DRIVE SUITE 108,COLTON,92324,9098258767,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/13/2017,1.5,-,36,47,76.60,-,22,35,62.86,-,7,24,36.91,-,6,22,46.13,-,9,25,42.27,-,-,-,-,The number of patient episodes for this measure is too small to report.,8,23,43.03,-,0,26,0.00,-,42,48,87.50,-,1,48,2.08,-,18,26,69.23,-,17,26,65.38,-,19,22,86.36,-,64,90,71.11,76.86,68.44,84.67,Same As National Rate,-,4,70,5.71,4.24,2.89,6.12,Same As National Rate,-,4,31,12.90,10.47,5.95,18.33,Same As National Rate,-,0.91,-,182,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,053163,PROFESSIONAL CARE HOME HEALTH,13701 RIVERSIDE DR SUITE 701,SHERMAN OAKS,91401,3102834449,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/06/2017,1.5,-,57,81,70.37,-,58,58,100.00,-,43,66,68.65,-,38,66,62.50,-,45,66,68.40,-,33,66,51.01,-,7,65,28.51,-,0,67,0.00,-,0,81,0.00,-,0,81,0.00,-,26,66,39.39,-,0,52,0.00,-,0,29,0.00,-,121,158,76.58,81.58,74.47,87.11,Same As National Rate,-,2,51,3.92,4.14,2.93,5.83,Same As National Rate,-,7,78,8.97,10.01,6.16,16.10,Same As National Rate,-,1.03,-,323,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,053187,"BLISS HOME HEALTH, INC",14349 VICTORY BLVD. SUITE 105B,VAN NUYS,91401,8187790419,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/22/2018,2,-,56,63,88.89,-,51,51,100.00,-,31,43,81.16,-,15,43,55.24,-,33,43,81.86,-,18,22,93.71,-,22,42,74.38,-,0,43,0.00,-,19,64,29.69,-,0,64,0.00,-,14,43,32.56,-,14,37,37.84,-,23,27,85.19,-,28,34,82.35,85.22,72.96,93.68,Same As National Rate,-,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,4,25,16.00,14.02,7.04,24.15,Same As National Rate,-,0.90,-,135,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058213,"INTENSIVE HOME HEALTH CARE, INC",21671 GATEWAY CENTER SUITE 104,DIAMOND BAR,91765,9093968585,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,10/23/2003,1.5,-,39,60,65.00,-,8,35,22.86,-,49,56,82.75,-,0,56,0.00,-,28,56,46.15,-,43,52,87.28,-,30,55,50.41,-,0,56,0.00,-,5,60,8.33,-,0,60,0.00,-,4,56,7.14,-,-,-,-,The number of patient episodes for this measure is too small to report.,56,56,100.00,-,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,12,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058332,PROFESSIONAL CARE HOME HEALTH SERVICES INC,1720 E LOS ANGELES AVE STES 213-215,SIMI VALLEY,93065,8055770189,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/29/2006,1.5,-,52,72,72.22,-,40,59,67.80,-,27,45,73.14,-,29,44,89.98,-,23,46,60.64,-,30,43,74.79,-,28,43,75.01,-,0,47,0.00,-,60,72,83.33,-,2,72,2.78,-,6,42,14.29,-,4,23,17.39,-,38,46,82.61,-,78,98,79.59,79.99,72.34,86.29,Same As National Rate,-,0,22,0.00,4.00,2.76,5.80,Same As National Rate,-,10,53,18.87,16.02,9.43,24.89,Same As National Rate,-,0.83,-,664,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058360,SILVER AGE HOME HEALTH CARE AGENCY INC,520 SOUTH LAFAYETTE PARK PL,LOS ANGELES,90057,2133855788,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/05/2007,2,-,67,85,78.82,-,39,61,63.93,-,21,46,66.97,-,20,46,77.48,-,33,46,77.06,-,31,43,83.81,-,30,46,79.16,-,0,46,0.00,-,71,85,83.53,-,1,85,1.18,-,24,46,52.17,-,18,47,38.30,-,35,37,94.59,-,69,89,77.53,84.00,74.60,93.36,Same As National Rate,-,-,15,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,6,40,15.00,12.03,6.45,21.29,Same As National Rate,-,0.97,-,272,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058374,HEMET HOME HEALTH CARE,233 SOUTH CARMALITA,HEMET,92543,9517669966,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/21/2007,1,-,41,46,89.13,-,0,32,0.00,-,9,37,45.65,-,7,36,35.73,-,6,38,35.48,-,-,-,-,The number of patient episodes for this measure is too small to report.,3,24,32.77,-,0,46,0.00,-,0,49,0.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,18,43,41.86,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,0,46,0.00,-,25,52,48.08,54.30,41.18,66.25,Worse Than National Rate,-,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,19,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.79,-,173,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058390,"LIFECARE HOME HEALTH SERVICES, INC",540 E FOOTHILL BLVD SUITE 200,SAN DIMAS,91773,6269646204,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/11/2007,2,-,43,71,60.56,-,41,48,85.42,-,17,42,62.54,-,11,42,58.98,-,23,43,66.05,-,36,39,100.00,-,11,28,60.03,-,0,45,0.00,-,62,71,87.32,-,1,71,1.41,-,20,43,46.51,-,14,28,50.00,-,38,43,88.37,-,72,103,69.90,73.96,63.84,80.92,Same As National Rate,-,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,58,3.45,8.51,5.18,14.84,Same As National Rate,-,0.87,-,221,170,Low CMS star rating; Timely care performance gap; Quality performance concern
